"country","continent","year","lifeExp","pop","gdpPercap"
"Nicaragua","Americas",2007,72.899,5675356,2749.320965
"Paraguay","Americas",2007,71.752,6667147,4172.838464
"El Salvador","Americas",2007,71.878,6939688,5728.353514
"Honduras","Americas",2007,70.198,7483763,3548.330846
"Haiti","Americas",2007,60.916,8502814,1201.637154
"Bolivia","Americas",2007,65.554,9119152,3822.137084
"Dominican Republic","Americas",2007,72.235,9319622,6025.374752
"Cuba","Americas",2007,78.273,11416987,8948.102923
"Guatemala","Americas",2007,70.259,12572928,5186.050003
"Ecuador","Americas",2007,74.994,13755680,6873.262326
"Chile","Americas",2007,78.553,16284741,13171.63885
"Venezuela","Americas",2007,73.747,26084662,11415.80569
"Peru","Americas",2007,71.421,28674757,7408.905561
"Canada","Americas",2007,80.653,33390141,36319.23501
"Argentina","Americas",2007,75.32,40301927,12779.37964
"Colombia","Americas",2007,72.889,44227550,7006.580419
"Mexico","Americas",2007,76.195,108700891,11977.57496
"Brazil","Americas",2007,72.39,190010647,9065.800825
"United States","Americas",2007,78.242,301139947,42951.65309
